FACILITY,FIELD_FAB,ALL_LOTS,DATETIME,TEXT,PREDICTION
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:01:35.290488+01:00,Model_Context_Scan_Go 0.125306129455566 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:01:35.401444+01:00,Start_DEFECT_Scan_Go 0.000633955001831 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:01:42.976508+01:00,RTD_WIPPER_TRANSPORT_DEST 0.0009138584136962 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:01:43.173048+01:00,RULE_LTS1 0.0006468296051025 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:01:50.456472+01:00,RULE_LTS1 0.0009379386901855 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:01:52.078048+01:00,RULE_LTS1 0.0009050369262695 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:01:59.513901+01:00,RULE_LTS1 0.0009698867797851 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:00.197144+01:00,Model_Context_Scan_Go 0.0008730888366699 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:08.247699+01:00,RULE_LTS1 0.0009009838104248 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:10.261925+01:00,MVOUT_Context_Lot_Scan_Go 0.0016040802001953 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:18.480595+01:00,RULE_LTS1 0.0011980533599853 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:22.978182+01:00,MVOUT_Context_Lot_Scan_Go 0.0006041526794433 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:24.232108+01:00,Lot_Next_Oper_Scan_Go 0.0006411075592041 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:30.805898+01:00,Get_context_etch_MS_E 0.000370979309082 CTNSX00364,0
